Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)
"33.7","53.09","470nF","KON 470nF X5R 6.3V SMD 20%","C11","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","33.7","53.09"
"32.52","41.54","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C12","CAPC1005X60N","Top","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","32.52","41.54"
"50.35","60.54","10µF","KON 10µF 16V X5R SMD 20%","C13","CAPC1608X90N","Top","25341","1","90","","01","","10u","25341","1608 (0603)","SMT","Yes","X5R","20%","","16V","50.35","60.54"
"43.05","42.35","470nF","KON 470nF X5R 6.3V SMD 20%","C14","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","43.05","42.35"
"29.19","31.34","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C15","CAPC1005X60N","Bottom","24719","1","180","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","29.19","31.34"
"20.98","40.36","47µF","KON 47µF 6,3V  X5R SMD 20%","C16","CAPC2012X135N","Top","24718","1","90","","01","","47u","24718","2012 (0805)","SMT","Yes","X5R","20%","","6.3V","20.98","40.36"
"42.09","45.41","470nF","KON 470nF X5R 6.3V SMD 20%","C17","CAPC0603X33N","Top","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","42.09","45.41"
"31.44","28.88","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C18","CAPC1005X60N","Bottom","24719","1","0","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","31.44","28.88"
"43.22","48.17","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C19","CAPC1005X60N","Top","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","43.22","48.17"
"42.09","47.98","470nF","KON 470nF X5R 6.3V SMD 20%","C20","CAPC0603X33N","Top","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","42.09","47.98"
"30.134","27.727","470nF","KON 470nF X5R 6.3V SMD 20%","C21","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","30.134","27.727"
"28.09","28.48","470nF","KON 470nF X5R 6.3V SMD 20%","C22","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.09","28.48"
"28.09","33.13","470nF","KON 470nF X5R 6.3V SMD 20%","C23","CAPC0603X33N","Bottom","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.09","33.13"
"28.132","27.002","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C24","CAPC1005X60N","Bottom","24719","1","270","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","28.132","27.002"
"30.23","52.18","470nF","KON 470nF X5R 6.3V SMD 20%","C26","CAPC0603X33N","Bottom","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","30.23","52.18"
"24.9","30.79","470nF","KON 470nF X5R 6.3V SMD 20%","C27","CAPC0603X33N","Bottom","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","24.9","30.79"
"27.84","30.39","1nF","KON 1nF 50V SMD AEC-Q200","C28","CAPC1005X55N","Bottom","26184","1","90","","01","","1n","26184","1005 (0402)","SMT","","X7R","10%","","50V","27.84","30.39"
"42.66","39.76","470nF","KON 470nF X5R 6.3V SMD 20%","C31","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","42.66","39.76"
"13.23","22.07","470nF","KON 470nF X5R 6.3V SMD 20%","C32","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","13.23","22.07"
"11.71","25.96","470nF","KON 470nF X5R 6.3V SMD 20%","C33","CAPC0603X33N","Top","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","11.71","25.96"
"8.66","28.2","10µF","KON 10µF 16V X5R SMD 20%","C34","CAPC1608X90N","Top","25341","1","0","","01","","10u","25341","1608 (0603)","SMT","Yes","X5R","20%","","16V","8.66","28.2"
"25.397","21.136","470nF","KON 470nF X5R 6.3V SMD 20%","C35","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","25.397","21.136"
"24.651","20.197","470nF","KON 470nF X5R 6.3V SMD 20%","C36","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","24.651","20.197"
"28.636","18.702","470nF","KON 470nF X5R 6.3V SMD 20%","C37","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.636","18.702"
"27.951","19.408","470nF","KON 470nF X5R 6.3V SMD 20%","C38","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","27.951","19.408"
